country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Karnataka,Belgaum,"Ramteerth Nagar, Belgaum - KSPCB","23-02-2025 22:00:00",15.888653,74.541751,CO,NA,NA,NA
India,Karnataka,Bengaluru,"Bapuji Nagar, Bengaluru - KSPCB","23-02-2025 22:00:00",12.951913,77.539784,PM10,86,127,106
India,Karnataka,Bengaluru,"Bapuji Nagar, Bengaluru - KSPCB","23-02-2025 22:00:00",12.951913,77.539784,CO,22,56,33
India,Karnataka,Bengaluru,"Hebbal, Bengaluru - KSPCB","23-02-2025 22:00:00",13.029152,77.585901,PM2.5,19,337,74
India,Gujarat,Ahmedabad,"Raikhad, Ahmedabad - IITM","23-02-2025 22:00:00",23.020509,72.579261,NH3,1,8,5
India,Gujarat,Ahmedabad,"Rakhial, Ahmedabad - IITM","23-02-2025 22:00:00",23.016834,72.625775,NH3,2,17,6
India,Gujarat,Ahmedabad,"Rakhial, Ahmedabad - IITM","23-02-2025 22:00:00",23.016834,72.625775,SO2,23,111,78
India,Gujarat,Ahmedabad,"SVPI Airport Hansol, Ahmedabad - IITM","23-02-2025 22:00:00",23.076793,72.627874,NO2,9,69,37
India,Gujarat,Ahmedabad,"SVPI Airport Hansol, Ahmedabad - IITM","23-02-2025 22:00:00",23.076793,72.627874,NH3,7,26,14
India,Gujarat,Ahmedabad,"Sardar Vallabhbhai Patel Stadium, Ahmedabad - IITM","23-02-2025 22:00:00",23.043070,72.562968,PM2.5,70,241,146
India,Haryana,Faridabad,"Sector 30, Faridabad - HSPCB","23-02-2025 22:00:00",28.4417,77.3217,PM2.5,83,108,95
India,Haryana,Faridabad,"Sector 30, Faridabad - HSPCB","23-02-2025 22:00:00",28.4417,77.3217,NO2,35,38,37
India,Haryana,Gurugram,"NISE Gwal Pahari, Gurugram - IMD","23-02-2025 22:00:00",28.422681,77.148944,PM2.5,47,179,91
India,Haryana,Gurugram,"NISE Gwal Pahari, Gurugram - IMD","23-02-2025 22:00:00",28.422681,77.148944,CO,22,41,25
India,Haryana,Gurugram,"Sector-51, Gurugram - HSPCB","23-02-2025 22:00:00",28.4227,77.0667,PM2.5,63,175,124
India,Haryana,Gurugram,"Teri Gram, Gurugram - HSPCB","23-02-2025 22:00:00",28.4275,77.1465,PM2.5,NA,NA,NA
